Country,iso_n3,1975,1985,1995,2005,2010,2012,2013,2014,delta
Afghanistan,4,2127,3509,1243,1327,8463,10755,10015,9809,8566
Albania,8,4595,7880,2087,4254,4598,4910,5064,5717,3630
Algeria,12,32031,72786,95294,107278,119178,129988,134465,145400,50106
Andorra,20,,,425,576,517,488,477,462,37
Angola,24,4415,4701,10975,19156,29057,33399,32618,34763,23788
Anguilla,660,,,66,128,150,143,136,143,77
Antigua and Barbuda,28,708,249,275,429,524,524,524,532,257
Argentina,32,94931,100597,127964,162111,187919,192356,189852,204025,76061
Armenia,51,,,3410,4353,4217,5695,5497,5530,2120
Aruba,533,,,1668,2721,2508,1349,862,873,-795
Australia,36,175884,241230,281860,350173,390862,388126,372267,361262,79402
Austria,40,54393,54701,59783,74216,67502,62273,62486,58712,-1071
Azerbaijan,31,,,33333,34338,30678,35555,35643,37488,4155
Bahamas,44,8254,1511,1683,1742,1654,1969,2802,2417,734
Bahrain,48,5754,10194,14818,19208,29266,26674,31313,31338,16520
Bangladesh,50,4870,10235,22816,39479,59937,67506,69710,73190,50374
Barbados,52,568,847,829,1353,1478,1470,1448,1272,443
Belarus,112,,,60773,59167,63043,63223,63769,63498,2725
Belgium,56,122100,104473,112328,108510,110824,95107,96970,93351,-18977
Belize,84,176,191,378,422,539,477,513,495,117
Benin,204,444,744,1327,2395,5090,5471,5812,6318,4991
Bermuda,60,458,451,532,583,609,477,458,576,44
Bhutan,64,4,62,249,396,488,818,920,1001,752
Bolivia (Plurin. State of),68,4059,4125,9850,12185,15203,18793,18918,20411,10561
Bosnia and Herzegovina,70,,,3429,16204,21276,22259,21921,22233,18804
Botswana,72,187,1159,3047,4096,4686,4232,5229,7033,3986
Brazil,76,151165,181249,258347,347309,419754,470029,503677,529808,271461
British Virgin Islands,92,26,48,84,132,172,176,176,180,96
Brunei Darussalam,96,7081,2596,4789,5005,8203,9666,7803,9109,4320
Bulgaria,100,73061,89541,58005,47917,44114,44708,39600,42416,-15589
Burkina Faso,854,220,477,627,1126,1962,2629,3058,2849,2222
Burundi,108,77,231,238,154,213,282,290,440,202
Cabo Verde,132,77,84,121,440,557,506,499,491,370
Cambodia,116,73,418,1551,2776,5013,5456,5603,6685,5134
Cameroon,120,1162,6476,4228,3696,6780,6128,6773,7004,2776
Canada,124,397143,422079,467638,557417,534671,517458,517161,537193,69555
Central African Republic,140,103,161,235,235,264,293,297,301,66
Chad,148,183,180,110,400,517,612,700,730,620
Chile,152,23014,21503,41745,61818,72251,80975,83226,82563,40818
China,156,1145607,1966553,3320285,5896958,8776040,10028574,10258007,10291927,6971642
"China, Macao SAR",446,297,733,1232,1830,1408,1313,1181,1283,51
Colombia,170,35896,48379,59614,60946,76175,79952,89625,84092,24478
Comoros,174,33,48,73,139,161,143,176,154,81
Congo,178,1100,1280,1566,983,1980,2970,3088,3095,1529
Cook Islands,184,15,22,40,62,70,70,70,70,30
Costa Rica,188,2039,2266,4866,6868,7569,7767,7598,7759,2893
Croatia,191,,,16986,22592,20172,17994,17550,16843,-143
Cuba,192,27066,32578,25709,26006,38375,36157,34800,34837,9128
Cyprus,196,1980,3102,5383,7503,7708,6920,5948,6062,679
Czechia,203,,,123831,120109,111579,101030,98675,96475,-27356
Dem. People's Rep. Korea,408,107740,144898,82911,75573,66453,49057,36010,40528,-42383
Dem. Rep. of the Congo,180,3238,3641,2123,1500,2021,2402,3590,4672,2549
Denmark,208,55779,60073,57172,47095,46641,36428,38533,33498,-23674
Djibouti,262,198,359,304,414,517,517,609,722,418
Dominica,212,29,48,81,117,139,136,132,136,55
Dominican Republic,214,6340,7294,15885,18639,21023,22123,21441,21540,5655
Ecuador,218,7363,19431,22842,30264,36461,38140,40997,43920,21078
Egypt,818,31100,63938,95723,167208,202715,217068,213412,201894,106171
El Salvador,222,2109,1988,5027,6454,6458,6663,6230,6285,1258
Equatorial Guinea,226,62,66,128,4712,4679,5115,5163,5346,5218
Eritrea,232,,,935,766,513,660,667,697,-238
Estonia,233,,,17521,16755,18108,17624,19893,19519,1998
Ethiopia,231,1210,1815,2563,5119,6586,8562,10634,11599,9036
Falkland Islands (Malvinas),238,15,29,44,51,55,55,55,55,11
