Country,iso_n3,1995,2005,2014,delta
Afghanistan,4,29,36,135,106.0
Albania,8,47,91,104,57.0
Algeria,12,"1,270","1,583","2,123",853.0
Andorra,20,7,10,9,2.0
Angola,24,343,363,774,431.0
Anguilla,660,1,2,2,1.0
Antigua and Barbuda,28,4,6,8,4.0
Argentina,32,"2,194","2,919","3,506",1312.0
Armenia,51,68,105,142,74.0
Aruba,533,10,30,12,2.0
Australia,36,"3,928","4,762","5,242",1314.0
Austria,40,"1,122","1,408","1,348",226.0
Azerbaijan,31,536,573,585,49.0
Bahamas,44,24,26,34,10.0
Bahrain,48,257,348,559,302.0
Bangladesh,50,918,"1,191","1,695",777.0
Barbados,52,12,17,17,5.0
Belarus,112,"1,043","1,125","1,171",128.0
Belgium,56,"2,237","2,436","2,210",-27.0
Belize,84,10,11,12,2.0
Benin,204,89,105,177,88.0
Bermuda,60,8,8,10,2.0
Bhutan,64,39,48,64,25.0
Bolivia (Plurin. State of),68,155,219,347,192.0
Bosnia and Herzegovina,70,56,206,252,196.0
Botswana,72,44,65,98,54.0
Brazil,76,"7,062","9,252","12,562",5500.0
British Virgin Islands,92,2,3,3,1.0
Brunei Darussalam,96,71,76,149,78.0
Bulgaria,100,966,826,744,-222.0
Burkina Faso,854,104,114,165,61.0
Burundi,108,66,81,61,-5.0
Cabo Verde,132,3,8,9,6.0
Cambodia,116,119,144,267,148.0
Cameroon,120,237,295,315,78.0
Canada,124,"9,684","11,253","11,576",1892.0
Central African Republic,140,31,22,23,-8.0
Chad,148,54,71,82,28.0
Chile,152,772,"1,178","1,461",689.0
China,156,"39,163","68,833","119,688",80525.0
"China, Macao SAR",446,18,28,36,18.0
Colombia,170,"1,104","1,180","1,554",450.0
Comoros,174,3,4,5,2.0
Congo,178,44,45,111,67.0
Cook Islands,184,1,1,1,0.0
Costa Rica,188,110,177,213,103.0
Croatia,191,325,407,335,10.0
Cuba,192,452,412,431,-21.0
Cyprus,196,71,94,83,12.0
Czechia,203,"1,764","1,898","1,758",-6.0
Dem. People's Rep. Korea,408,921,896,406,-515.0
Dem. Rep. of the Congo,180,585,824,"1,202",617.0
Denmark,208,810,785,669,-141.0
Djibouti,262,7,9,11,4.0
Dominica,212,1,2,3,2.0
Dominican Republic,214,236,266,289,53.0
Ecuador,218,339,475,679,340.0
Egypt,818,"1,605","2,742","3,503",1898.0
El Salvador,222,136,189,170,34.0
Equatorial Guinea,226,5,68,74,69.0
Eritrea,232,42,32,34,-8.0
Estonia,233,217,220,245,28.0
Ethiopia,231,918,"1,132","1,438",520.0
Falkland Islands (Malvinas),238,1,1,1,0.0
Faroe Islands,234,8,10,9,1.0
Fiji,242,23,24,30,7.0
Finland,246,"1,212","1,433","1,415",203.0
France,250,"9,924","11,333","10,175",251.0
French Guiana,254,9,10,13,4.0
French Polynesia,258,7,12,11,4.0
Gabon,266,56,72,112,56.0
Gambia,270,8,10,14,6.0
Georgia,268,88,135,188,100.0
Germany,276,"14,035","14,015","12,776",-1259.0
Ghana,288,277,251,321,44.0
Greece,300,963,"1,280",983,20.0
Greenland,304,5,9,9,4.0
Grenada,308,2,3,4,2.0
Guadeloupe,312,21,33,34,13.0
Guatemala,320,252,361,444,192.0
Guinea,324,126,135,146,20.0
Guinea-Bissau,624,21,26,30,9.0
Guyana,328,29,29,35,6.0
Haiti,332,71,142,174,103.0
Honduras,340,142,171,225,83.0
Hungary,348,"1,093","1,155","1,000",-93.0
Iceland,352,90,158,311,221.0
India,356,"16,262","22,706","34,845",18583.0
Indonesia,360,"4,587","7,087","7,931",3344.0
Iran (Islamic Republic of),364,"3,887","7,221","9,986",6099.0
Iraq,368,"1,072","1,488","2,055",983.0
Ireland,372,446,615,534,88.0
Israel,376,649,767,894,245.0
Italy,380,"6,714","7,847","6,168",-546.0
Jamaica,388,130,151,104,-26.0
Japan,392,"20,693","21,847","18,499",-2194.0
Jordan,400,172,289,352,180.0
Kazakhstan,398,"2,185","2,352","3,354",1169.0
Kenya,404,518,686,909,391.0
Kiribati,296,1,1,1,0.0
Kuwait,414,835,"1,133","1,332",497.0
Kyrgyzstan,417,101,114,171,70.0
Lao People's Dem. Rep.,418,63,68,120,57.0
Latvia,428,197,190,182,-15.0
Lebanon,422,174,206,306,132.0
Lesotho,426,41,47,58,17.0
Liberia,430,31,62,89,58.0
Libya,434,653,727,743,90.0
Lithuania,440,376,362,287,-89.0
Luxembourg,442,133,185,161,28.0
Madagascar,450,108,127,171,63.0
Malawi,454,65,70,79,14.0
Malaysia,458,"1,768","2,745","3,535",1767.0
Maldives,462,4,9,19,15.0
Mali,466,49,61,91,42.0
Malta,470,30,37,33,3.0
Marshall Islands,584,1,2,2,1.0
Martinique,474,22,30,30,8.0
Mauritania,478,26,36,54,28.0
Mauritius,480,41,57,65,24.0
Mexico,484,"5,499","7,435","7,821",2322.0
Micronesia (Fed. States of),583,2,2,2,0.0
Mongolia,496,89,104,342,253.0
Morocco,504,430,605,780,350.0
Mozambique,508,264,364,549,285.0
Myanmar,104,498,619,741,243.0
Namibia,516,38,54,75,37.0
Nauru,520,1,1,1,0.0
Nepal,524,301,388,542,241.0
Netherlands,528,"3,051","3,350","3,022",-29.0
New Caledonia,540,27,37,64,37.0
New Zealand,554,629,746,926,297.0
Nicaragua,558,102,119,152,50.0
Niger,562,70,77,91,21.0
Nigeria,566,"3,052","4,401","6,129",3077.0
Niue,570,0,0,0,0.0
Norway,578,962,"1,114","1,202",240.0
Oman,512,236,445,"1,014",778.0
